Accuracy,Recall,Precision,F1-Score,n_clusters,run,base_classifiers
0.5716463414634146,0.54609375,0.5468742241422117,0.5463179682558434,4.0,run1,"[SVC(), SVC(), RandomForestClassifier(), SVC()]"
0.5304878048780488,0.5046370790790206,0.5046919866196975,0.5045851763944331,4.0,run2,"[SVC(), SVC(), RandomForestClassifier(), SVC()]"
0.6051829268292683,0.5722721199886877,0.5776150978174355,0.572649185688235,4.0,run3,"[SVC(), SVC(), SVC(), SVC()]"
0.6615853658536586,0.5990806746912859,0.656167495548597,0.5887960243957533,4.0,run4,"[SVC(kernel='linear'), SVC(), RandomForestClassifier(), GradientBoostingClassifier()]"
0.5289634146341463,0.5470809060229715,0.5460679075786989,0.5285679399965115,4.0,run5,"[SVC(), RandomForestClassifier(), SVC(), RandomForestClassifier()]"
0.5716463414634146,0.5418448701218292,0.5484429447311543,0.5363491165188957,4.0,run6,"[RandomForestClassifier(), SVC(), RandomForestClassifier(), RandomForestClassifier()]"
0.5182926829268293,0.5091275903944843,0.5087265917602997,0.5063581722755113,4.0,run7,"[SVC(), SVC(), SVC(), SVC()]"
0.5696864111498259,0.545733855756897,0.5555123211711563,0.5405176547893119,4.0,Mean,
0.05090728768102417,0.033156684980821874,0.05099901550764436,0.031662452869355415,0.0,Std,
