Accuracy,Recall,Precision,F1-Score,n_clusters,run,base_classifiers
0.8859649122807017,0.868053350269927,0.9013157894736842,0.8780748663101604,4.0,run1,"[SVC(), RandomForestClassifier(), KNeighborsClassifier(), SVC()]"
0.9736842105263158,0.9711538461538461,0.976923076923077,0.9733374912294379,4.0,run2,"[SVC(kernel='linear'), SVC(), KNeighborsClassifier(), KNeighborsClassifier()]"
0.9736842105263158,0.9705314009661836,0.9743506493506493,0.9723547005092557,4.0,run3,"[KNeighborsClassifier(), SVC(), KNeighborsClassifier(), SVC(kernel='linear')]"
0.956140350877193,0.9464724464724465,0.9529914529914529,0.9496243923994697,4.0,run4,"[RandomForestClassifier(), KNeighborsClassifier(), KNeighborsClassifier(), KNeighborsClassifier()]"
0.9473684210526315,0.9565217391304348,0.9411764705882353,0.9460227272727273,4.0,run5,"[SVC(), KNeighborsClassifier(), GaussianNB(), SVC()]"
0.956140350877193,0.9510317720275139,0.9553571428571428,0.9531057178116,4.0,run6,"[SVC(), KNeighborsClassifier(), KNeighborsClassifier(), SVC()]"
0.9035087719298246,0.8508137432188065,0.923951048951049,0.8769019338372436,4.0,run7,"[RandomForestClassifier(), KNeighborsClassifier(), SVC(), SVC()]"
0.9423558897243108,0.930654042605594,0.9465808044478987,0.9356316899099849,4.0,Mean,
0.03429556938196494,0.04976338909468099,0.027080659009808408,0.04111242752789963,0.0,Std,
