Accuracy,Recall,Precision,F1-Score,n_clusters,run,base_classifiers
0.765,0.6953536131433706,0.6977650727650728,0.6965294592413238,,run1,Simple
0.75,0.6857142857142857,0.7385657820440429,0.6964545896066051,,run2,Simple
0.79,0.717994951316264,0.7521902377972465,0.7304582210242587,,run3,Simple
0.77,0.6952404079650316,0.7203947368421053,0.7047875754075216,,run4,Simple
0.785,0.7225274725274725,0.7903225806451613,0.7376048817696415,,run5,Simple
0.755,0.6763736263736264,0.7661250207262478,0.6874102899429045,,run6,Simple
0.79,0.7,0.7185314685314685,0.707968293700459,,run7,Simple
0.7721428571428571,0.6990291938628646,0.7405564141930493,0.7087447586703878,,Mean,
0.016547190813232446,0.016488570940736975,0.03160280524890123,0.018601365100284498,,Std,
