Accuracy,Recall,Precision,F1-Score,n_clusters,run,base_classifiers
0.78,0.7092846270928463,0.72,0.7141372141372142,4.0,run1,"[GradientBoostingClassifier(), LogisticRegression(), SVC(kernel='linear'), SVC(kernel='linear')]"
0.73,0.6071428571428571,0.6764705882352942,0.6129032258064517,4.0,run2,"[SVC(kernel='linear'), GradientBoostingClassifier(), RandomForestClassifier(), RandomForestClassifier()]"
0.735,0.6904761904761905,0.6779631560653459,0.6830048745476838,4.0,run3,"[LogisticRegression(), LogisticRegression(), LogisticRegression(), LogisticRegression()]"
0.765,0.6240079365079365,0.7285714285714286,0.6362088316111305,4.0,run4,"[SVC(kernel='linear'), RandomForestClassifier(), RandomForestClassifier(), RandomForestClassifier()]"
0.755,0.6488095238095238,0.7164502164502164,0.6617773943054357,4.0,run5,"[LogisticRegression(), SVC(kernel='linear'), SVC(kernel='linear'), RandomForestClassifier()]"
0.835,0.7762896825396826,0.8011217732125964,0.7869249394673123,4.0,run6,"[RandomForestClassifier(), SVC(kernel='linear'), GradientBoostingClassifier(), SVC(kernel='linear')]"
0.795,0.6893416927899686,0.7557588075880759,0.7083822326540772,4.0,run7,"[GaussianNB(), RandomForestClassifier(), RandomForestClassifier(), RandomForestClassifier()]"
0.7707142857142857,0.6779075014798579,0.7251908528747082,0.6861912446470436,4.0,Mean,
0.03656370826249386,0.05731750828009415,0.04362490882871482,0.05758509470485249,0.0,Std,
