Accuracy,Recall,Precision,F1-Score,n_clusters,run,base_classifiers
1.0,1.0,1.0,1.0,,run1,Simple
0.9722222222222222,0.9722222222222222,0.9629629629629629,0.9658994032395567,,run2,Simple
0.9722222222222222,0.9791666666666666,0.9743589743589745,0.9759139784946237,,run3,Simple
0.9444444444444444,0.9607843137254902,0.9351851851851851,0.9450660699062233,,run4,Simple
0.9722222222222222,0.9761904761904763,0.9629629629629629,0.9680464778503994,,run5,Simple
0.9722222222222222,0.9743589743589745,0.9791666666666666,0.9759139784946237,,run6,Simple
0.9722222222222222,0.9861111111111112,0.9333333333333332,0.9558707643814026,,run7,Simple
0.9722222222222223,0.9784048234678487,0.9639957264957265,0.9695300960524041,,Mean,
0.016037507477489613,0.01222223434547751,0.02382654293218907,0.01737033835257631,,Std,
