Accuracy,Recall,Precision,F1-Score,n_clusters,run,base_classifiers
0.6402439024390244,0.5810246305418719,0.6073517126148704,0.5767973320212126,3.0,run1,"[RandomForestClassifier(), RandomForestClassifier(), SVC()]"
0.6676829268292683,0.5307566116004723,0.5953978285529087,0.491689770384588,3.0,run2,"[SVC(), RandomForestClassifier(), SVC()]"
0.6387195121951219,0.5552833602268837,0.6312575462059998,0.51926829042043,3.0,run3,"[SVC(), SVC(), SVC()]"
0.6676829268292683,0.6070304150660004,0.6983141557398983,0.5883382461311717,3.0,run4,"[RandomForestClassifier(), SVC(), SVC()]"
0.6798780487804879,0.588498789346247,0.6604125521176213,0.578266779324786,3.0,run5,"[SVC(), LogisticRegression(), SVC()]"
0.6112804878048781,0.546026499528495,0.6655701754385965,0.4785129763853168,3.0,run6,"[SVC(), SVC(), RandomForestClassifier()]"
0.6432926829268293,0.5794995964487489,0.6036720851362414,0.576816196903533,3.0,run7,"[SVC(), SVC(), SVC()]"
0.6498257839721254,0.569731414679817,0.6374251508294481,0.5442413702244341,3.0,Mean,
0.023396854185056114,0.02663358918150954,0.03846221141475779,0.046419859306410634,0.0,Std,
