Accuracy,Recall,Precision,F1-Score,n_clusters,run,base_classifiers
0.775,0.6632928475033738,0.7358256555634302,0.6799317187666702,3.0,run1,"[LogisticRegression(), RandomForestClassifier(), LogisticRegression()]"
0.725,0.628968253968254,0.6491039426523297,0.6357495281300705,3.0,run2,"[SVC(kernel='linear'), GradientBoostingClassifier(), GradientBoostingClassifier()]"
0.705,0.6089572192513368,0.6774632553075667,0.6092585847213484,3.0,run3,"[RandomForestClassifier(), RandomForestClassifier(), GradientBoostingClassifier()]"
0.765,0.6907169117647058,0.7379928315412186,0.7036476559790661,3.0,run4,"[RandomForestClassifier(), LogisticRegression(), RandomForestClassifier()]"
0.765,0.7113456775563156,0.7222222222222222,0.7161064298873485,3.0,run5,"[SVC(kernel='linear'), GradientBoostingClassifier(), SVC(kernel='linear')]"
0.745,0.6588052439518854,0.6566666666666667,0.6577066344508204,3.0,run6,"[SVC(), LogisticRegression(), LogisticRegression()]"
0.765,0.6655659830842312,0.7531892274982283,0.680174202987309,3.0,run7,"[SVC(kernel='linear'), RandomForestClassifier(), SVC(kernel='linear')]"
0.7492857142857143,0.6610931624400146,0.7046376859216661,0.6689392507032332,3.0,Mean,
0.025727509827124018,0.03460040323936476,0.0425742259767416,0.037563248750890864,0.0,Std,
