Accuracy,Recall,Precision,F1-Score,n_clusters,run,base_classifiers
0.795,0.7616943866943866,0.7375280103785824,0.7471554993678888,,run1,Simple
0.695,0.6269230769230769,0.6606174384647476,0.6315423877261332,,run2,Simple
0.785,0.6843377756810944,0.7769312544294826,0.7031924072476273,,run3,Simple
0.775,0.712599345488546,0.7393736017897092,0.7224877432086585,,run4,Simple
0.765,0.6854790239211443,0.7178147939017505,0.6965294592413237,,run5,Simple
0.79,0.7093249150072851,0.7511655011655012,0.7236478484011055,,run6,Simple
0.765,0.7122096285489844,0.7398528665651953,0.7215557332859386,,run7,Simple
0.7671428571428571,0.6989383074663597,0.7318976380992813,0.7065872969255251,,Mean,
0.03389409275684372,0.04080335013118929,0.036123278027227555,0.03687398250954617,,Std,
