Accuracy,Recall,Precision,F1-Score,n_clusters,run,base_classifiers
0.9722222222222222,0.9777777777777779,0.9761904761904763,0.9761600681140911,,run1,Simple
1.0,1.0,1.0,1.0,,run2,Simple
0.9444444444444444,0.9607843137254902,0.9351851851851851,0.9450660699062233,,run3,Simple
1.0,1.0,1.0,1.0,,run4,Simple
0.9722222222222222,0.9814814814814815,0.9761904761904763,0.9781305114638448,,run5,Simple
0.9444444444444444,0.9444444444444443,0.9444444444444443,0.9444444444444443,,run6,Simple
0.9722222222222222,0.9824561403508771,0.9583333333333334,0.9687687687687688,,run7,Simple
0.9722222222222223,0.9781348796828675,0.9700491307634165,0.9732242660996245,,Mean,
0.022680460581325734,0.02009251559532819,0.02542274557543686,0.022758088791624647,,Std,
