Accuracy,Recall,Precision,F1-Score,n_clusters,run,base_classifiers
0.725,0.652532790592492,0.6875956056181338,0.6608183528105824,2.0,run1,"[RandomForestClassifier(), RandomForestClassifier()]"
0.77,0.6392946440321094,0.692070404645255,0.6534056660638938,2.0,run2,"[RandomForestClassifier(), RandomForestClassifier()]"
0.735,0.657565750678146,0.6831140350877194,0.6658154418487343,2.0,run3,"[LogisticRegression(), GradientBoostingClassifier()]"
0.735,0.6303179055633474,0.6930735930735931,0.6393453778367528,2.0,run4,"[SVC(), RandomForestClassifier()]"
0.785,0.6760912698412699,0.7458874458874458,0.6941569757103737,2.0,run5,"[LogisticRegression(), SVC(kernel='linear')]"
0.745,0.6607142857142857,0.6935483870967742,0.6707021791767555,2.0,run6,"[GradientBoostingClassifier(), GradientBoostingClassifier()]"
0.79,0.6923796166432913,0.7916371367824238,0.712171052631579,2.0,run7,"[RandomForestClassifier(), RandomForestClassifier()]"
0.755,0.6584137518664201,0.7124180868844778,0.6709164351540959,2.0,Mean,
0.026299556396765858,0.021062164905993747,0.04085552200562714,0.024743558717938197,0.0,Std,
