Accuracy,Recall,Precision,F1-Score,n_clusters,run,base_classifiers
0.385,0.5244019713907921,0.5359673990077959,0.3752380952380952,4.0,run1,"[LogisticRegression(), RandomForestClassifier(), RandomForestClassifier(), RandomForestClassifier()]"
0.655,0.4911830504013686,0.48812898653437276,0.48459383753501406,4.0,run2,"[LogisticRegression(), SVC(kernel='linear'), SVC(kernel='linear'), RandomForestClassifier()]"
0.445,0.5400888265544647,0.5440251572327044,0.44387384453518375,4.0,run3,"[SVC(), SVC(kernel='linear'), LogisticRegression(), SVC()]"
0.43,0.5301332704328341,0.5336228451111988,0.42857142857142855,4.0,run4,"[SVC(), LogisticRegression(), SVC(kernel='linear'), SVC()]"
0.595,0.5288407586129503,0.5312044681884409,0.5287272727272727,4.0,run5,"[RandomForestClassifier(), SVC(), SVC(), LogisticRegression()]"
0.515,0.5609686609686609,0.5562211013030686,0.5129421807135146,4.0,run6,"[LogisticRegression(), SVC(), LogisticRegression(), RandomForestClassifier()]"
0.755,0.6489800874210783,0.7034488476206268,0.6617773943054357,4.0,run7,"[SVC(), LogisticRegression(), RandomForestClassifier(), SVC()]"
0.5399999999999999,0.546370946540307,0.5560884007140297,0.49081772194656353,4.0,Mean,
0.13431927138972527,0.04980044085119486,0.06832262770248526,0.09185999383280138,0.0,Std,
