Accuracy,Recall,Precision,F1-Score,n_clusters,run,base_classifiers
0.9473684210526315,0.946998946998947,0.9353846153846155,0.9407894736842106,3.0,run1,"[SVC(), KNeighborsClassifier(), RandomForestClassifier()]"
0.8421052631578947,0.7804878048780488,0.9010989010989011,0.8044969512195121,3.0,run2,"[SVC(), SVC(), KNeighborsClassifier()]"
0.9298245614035088,0.9412393162393162,0.9097222222222223,0.9220512820512821,3.0,run3,"[KNeighborsClassifier(), SVC(), SVC()]"
0.9385964912280702,0.938234360114322,0.9356060606060606,0.9368421052631579,3.0,run4,"[KNeighborsClassifier(), SVC(), KNeighborsClassifier()]"
0.9473684210526315,0.936038961038961,0.9537162162162163,0.9434523809523809,3.0,run5,"[GradientBoostingClassifier(), KNeighborsClassifier(), DecisionTreeClassifier()]"
0.9385964912280702,0.9412878787878788,0.9351073762838469,0.9375146817007283,3.0,run6,"[SVC(), KNeighborsClassifier(), SVC()]"
0.7719298245614035,0.821917808219178,0.8059701492537313,0.7712962962962964,3.0,run7,"[SVC(), SVC(), KNeighborsClassifier()]"
0.9022556390977444,0.9008864394680931,0.9109436487236564,0.8937775958810811,3.0,Mean,
0.06840391362573496,0.06922118798396484,0.04955942594526301,0.07327720104687464,0.0,Std,
