Accuracy,Recall,Precision,F1-Score,n_clusters,run,base_classifiers
0.6402439024390244,0.5747038005847054,0.6616716616716617,0.5418560606060606,2.0,run1,"[SVC(), SVC()]"
0.6798780487804879,0.5822059525704282,0.7181165540540541,0.5545092357841362,2.0,run2,"[SVC(), SVC()]"
0.6692073170731707,0.5751704607126294,0.7130313199105145,0.5406918403365955,2.0,run3,"[SVC(), SVC()]"
0.6341463414634146,0.5896133915630122,0.6610319527433055,0.562155848489905,2.0,run4,"[RandomForestClassifier(), SVC()]"
0.6310975609756098,0.5526896007240307,0.6990361883978906,0.49117948717948723,2.0,run5,"[SVC(), SVC()]"
0.6585365853658537,0.57499385175348,0.6602956327929519,0.5501512312797717,2.0,run6,"[SVC(), RandomForestClassifier()]"
0.6600609756097561,0.592985032531632,0.6639965694682676,0.5767803156326394,2.0,run7,"[SVC(), RandomForestClassifier()]"
0.6533101045296167,0.577480298634274,0.6824542684340921,0.5453320027583708,2.0,Mean,
0.018542024043205776,0.013189300815313939,0.026470861024608106,0.02691218113932464,0.0,Std,
