Accuracy,Recall,Precision,F1-Score,n_clusters,run,base_classifiers
0.956140350877193,0.9468085106382979,0.9652777777777778,0.9539245008487591,,run1,Simple
0.956140350877193,0.9529914529914529,0.9464724464724465,0.9496243923994697,,run2,Simple
0.9824561403508771,0.9818990155604954,0.9818990155604954,0.9818990155604954,,run3,Simple
0.9649122807017544,0.961025641025641,0.961025641025641,0.961025641025641,,run4,Simple
0.9385964912280702,0.9411302982731554,0.9357940446650124,0.9377874795353551,,run5,Simple
0.9736842105263158,0.9658119658119658,0.9730560578661844,0.9693190993092313,,run6,Simple
0.9824561403508771,0.9807432432432432,0.9807432432432432,0.9807432432432432,,run7,Simple
0.9649122807017544,0.9614871610777502,0.9634668895158287,0.9620461959888849,,Mean,
0.016015279459215364,0.015855593851975835,0.017291637021370168,0.016362554489090044,,Std,
