Accuracy,Recall,Precision,F1-Score,n_clusters,run,base_classifiers
0.5555555555555556,0.6444444444444445,0.4063492063492064,0.45925925925925926,5.0,run1,"[DecisionTreeClassifier(), SVC(), SVC(), DecisionTreeClassifier(), KNeighborsClassifier()]"
0.4444444444444444,0.3333333333333333,0.14814814814814814,0.2051282051282051,5.0,run2,"[SVC(), SVC(), KNeighborsClassifier(), SVC(), SVC()]"
0.6666666666666666,0.6384615384615385,0.84,0.6358845832530043,5.0,run3,"[SVC(), KNeighborsClassifier(), DecisionTreeClassifier(), SVC(), RandomForestClassifier()]"
0.6666666666666666,0.6363636363636364,0.47222222222222227,0.5354691075514874,5.0,run4,"[GradientBoostingClassifier(), GradientBoostingClassifier(), KNeighborsClassifier(), SVC(), SVC()]"
0.5555555555555556,0.5904761904761905,0.8095238095238096,0.518954248366013,5.0,run5,"[RandomForestClassifier(), KNeighborsClassifier(), SVC(), SVC(), KNeighborsClassifier()]"
0.8333333333333334,0.7999999999999999,0.9166666666666666,0.8095238095238096,5.0,run6,"[KNeighborsClassifier(), DecisionTreeClassifier(), RandomForestClassifier(), KNeighborsClassifier(), KNeighborsClassifier()]"
0.5833333333333334,0.42857142857142855,0.5104166666666666,0.3794406651549509,5.0,run7,"[SVC(), SVC(), SVC(), KNeighborsClassifier(), KNeighborsClassifier()]"
0.615079365079365,0.581664367378653,0.5861895313681028,0.50623712546239,5.0,Mean,
0.1225884364454779,0.1543875609346023,0.2788266968437526,0.19094429999202098,0.0,Std,
